Instrument;last Time;Kaufpreis;last Price;TakeProfit;StopLoss;macd;macdTrigger;parabolicSAR;ema
GBP_USD;2022-06-03T14:00;1999,522644;1,256000;1,261000;1,253000;-0,000506;-0,000620;1,253643;1,255945
TRY_JPY;2022-06-03T14:00;-1999,522644;7,800000;7,769000;7,816000;-0,002635;0,001686;7,835117;7,874297
GBP_NZD;2022-06-03T14:00;1999,522644;1,923000;1,931000;1,919000;0,000944;0,000943;1,920821;1,922967
TRY_JPY;2022-06-03T14:00;-1999,522644;7,800000;7,769000;7,816000;-0,002635;0,001686;7,835117;7,874297
USD_ZAR;2022-06-03T14:00;-1999,522644;15,500000;15,438000;15,532000;0,016164;0,016422;15,557700;15,506464
GBP_SGD;2022-06-03T14:00;1999,522644;1,726000;1,733000;1,722000;0,000051;0,000036;1,723187;1,723831
TRY_JPY;2022-06-03T14:00;-1999,522644;7,800000;7,769000;7,816000;-0,002635;0,001686;7,835117;7,874297
TRY_JPY;2022-06-03T14:00;-1999,522644;7,800000;7,769000;7,816000;-0,002635;0,001686;7,835117;7,874297
TRY_JPY;2022-06-03T14:00;-1999,522644;7,800000;7,769000;7,816000;-0,002635;0,001686;7,835117;7,874297
TRY_JPY;2022-06-03T14:00;-1999,522644;7,800000;7,769000;7,816000;-0,002635;0,001686;7,835117;7,874297
TRY_JPY;2022-06-03T14:00;-1999,522644;7,800000;7,769000;7,816000;-0,002635;0,001686;7,835117;7,874297
TRY_JPY;2022-06-03T14:00;-1999,522644;7,800000;7,769000;7,816000;-0,002635;0,001686;7,835117;7,874297
SGD_CHF;2022-06-03T14:15;-1999,522644;0,699000;0,696000;0,701000;0,000287;0,000311;0,700341;0,699044
USD_CNH;2022-06-03T14:15;-1999,522644;6,644000;6,617000;6,658000;0,003124;0,003272;6,651432;6,660817
EUR_DKK;2022-06-03T14:15;1999,522644;7,439000;7,469000;7,424000;-0,000020;-0,000023;7,438836;7,438937
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
GBP_ZAR;2022-06-03T14:15;-1999,522644;19,457000;19,379000;19,496000;0,011047;0,011094;19,510530;19,475722
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
CHF_ZAR;2022-06-03T14:15;-1999,522644;16,114000;16,050000;16,147000;0,001543;0,002151;16,115280;16,160383
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
TRY_JPY;2022-06-03T14:15;-1999,522644;7,800000;7,769000;7,816000;-0,001913;0,002291;7,840788;7,874543
GBP_AUD;2022-06-03T14:30;-1999,522644;1,734000;1,727000;1,738000;0,000431;0,000435;1,736224;1,737861
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
USD_HKD;2022-06-03T14:30;-1999,522644;7,844000;7,813000;7,860000;0,000019;0,000019;7,844984;7,845424
NZD_USD;2022-06-03T14:30;-1999,522644;0,651000;0,648000;0,653000;-0,000736;-0,000696;0,651579;0,653067
EUR_CAD;2022-06-03T14:30;-1999,522644;1,347000;1,342000;1,350000;-0,000830;-0,000817;1,347508;1,351774
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
EUR_CZK;2022-06-03T14:30;-1999,522644;24,683000;24,584000;24,733000;-0,000053;0,000711;24,683694;24,701468
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
EUR_ZAR;2022-06-03T14:30;-1999,522644;16,631000;16,564000;16,665000;0,008511;0,008912;16,677082;16,631062
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
CHF_HKD;2022-06-03T14:45;-1999,522644;8,149000;8,116000;8,166000;-0,008230;-0,008189;8,168398;8,175748
GBP_HKD;2022-06-03T14:45;-1999,522644;9,836000;9,797000;9,856000;-0,005613;-0,005544;9,857039;9,853229
TRY_JPY;2022-06-03T14:45;-1999,522644;7,800000;7,769000;7,816000;-0,001568;0,003539;7,850805;7,874930
TRY_JPY;2022-06-03T14:45;-1999,522644;7,800000;7,769000;7,816000;-0,001568;0,003539;7,850805;7,874930
AUD_CHF;2022-06-03T14:45;1999,522644;0,696000;0,699000;0,694000;0,000144;0,000124;0,694560;0,693441
NZD_HKD;2022-06-03T14:45;-1999,362972;5,111000;5,091000;5,122000;-0,005438;-0,005382;5,129060;5,123892
USD_INR;2022-06-03T15:00;1999,362972;77,600000;77,910000;77,444000;0,020396;0,020199;77,544378;77,490509
EUR_USD;2022-06-03T15:00;-1999,362972;1,071000;1,067000;1,074000;-0,000624;-0,000576;1,074814;1,072468
USD_DKK;2022-06-03T15:00;1999,357574;6,941000;6,969000;6,927000;0,003668;0,003655;6,919254;6,935817
AUD_CAD;2022-06-03T15:00;-1999,357574;0,908000;0,904000;0,910000;-0,000819;-0,000815;0,908124;0,910782
EUR_HKD;2022-06-03T15:15;-1999,357574;8,410000;8,376000;8,427000;-0,004258;-0,004198;8,429278;8,414333
USD_SEK;2022-06-03T15:30;1999,357574;9,765000;9,804000;9,745000;0,011654;0,011521;9,739736;9,750272
SGD_CHF;2022-06-03T15:30;1999,224418;0,699000;0,702000;0,697000;0,000296;0,000361;0,699222;0,699085
USD_SEK;2022-06-03T15:30;-1999,224418;9,765000;9,726000;9,785000;0,011654;0,011521;9,739736;9,750272
AUD_CAD;2022-06-03T15:30;1999,224418;0,907000;0,911000;0,905000;-0,000899;-0,000835;0,909575;0,910723
CAD_JPY;2022-06-03T15:30;-1999,224418;104,000000;103,584000;104,209000;0,127589;0,127037;103,757000;102,999453
USD_SEK;2022-06-03T15:30;1999,206380;9,764000;9,803000;9,744000;0,011574;0,011512;9,739736;9,750262
SGD_CHF;2022-06-03T15:30;-1999,206380;0,699000;0,696000;0,701000;0,000296;0,000361;0,699222;0,699085
AUD_CAD;2022-06-03T15:30;-1999,206380;0,907000;0,903000;0,909000;-0,000899;-0,000835;0,909575;0,910723
CAD_JPY;2022-06-03T15:30;1999,206380;104,000000;104,416000;103,791000;0,127589;0,127037;103,757000;102,999453
USD_PLN;2022-06-03T15:30;1999,206380;4,286000;4,303000;4,277000;0,003107;0,003081;4,272544;4,274950
USD_ZAR;2022-06-03T15:30;1999,206380;15,539000;15,601000;15,507000;0,015538;0,015513;15,483100;15,507167
NZD_CAD;2022-06-03T15:45;-1999,206380;0,818000;0,815000;0,820000;-0,000926;-0,000870;0,820517;0,822960
USD_CZK;2022-06-03T15:45;1999,206380;23,035000;23,127000;22,988000;0,010048;0,009717;22,988580;23,031120
USD_NOK;2022-06-03T15:45;1999,206380;9,449000;9,487000;9,430000;0,010792;0,010669;9,428581;9,414392
EUR_ZAR;2022-06-03T15:45;1999,206380;16,663000;16,730000;16,629000;0,008169;0,008117;16,606986;16,631672
EUR_SEK;2022-06-03T16:00;1999,206380;10,476000;10,518000;10,455000;0,007314;0,007011;10,461973;10,457814
EUR_CAD;2022-06-03T16:00;-1999,206380;1,347000;1,342000;1,350000;-0,000654;-0,000646;1,349529;1,351577
USD_TRY;2022-06-03T16:00;-1999,206380;16,657000;16,590000;16,691000;0,014205;0,006936;16,538750;16,473783
EUR_TRY;2022-06-03T16:00;-1999,206380;17,843000;17,772000;17,879000;0,003045;-0,001811;17,659120;17,667839
TRY_JPY;2022-06-03T16:00;1999,206380;7,800000;7,831000;7,784000;0,001201;0,006781;7,946000;7,876686
USD_TRY;2022-06-03T16:00;1999,206380;16,657000;16,724000;16,623000;0,014205;0,006936;16,538750;16,473783
EUR_TRY;2022-06-03T16:00;1999,206380;17,843000;17,914000;17,807000;0,003045;-0,001811;17,659120;17,667839
TRY_JPY;2022-06-03T16:00;-1999,206380;7,800000;7,769000;7,816000;0,001201;0,006781;7,946000;7,876686
USD_TRY;2022-06-03T16:00;-1999,206380;16,657000;16,590000;16,691000;0,014205;0,006936;16,538750;16,473783
USD_TRY;2022-06-03T16:00;1999,206380;16,657000;16,724000;16,623000;0,014205;0,006936;16,538750;16,473783
EUR_TRY;2022-06-03T16:00;-1999,206380;17,843000;17,772000;17,879000;0,003045;-0,001811;17,659120;17,667839
EUR_TRY;2022-06-03T16:00;1999,206380;17,843000;17,914000;17,807000;0,003045;-0,001811;17,659120;17,667839
TRY_JPY;2022-06-03T16:00;1999,206380;7,800000;7,831000;7,784000;0,001201;0,006781;7,946000;7,876686
TRY_JPY;2022-06-03T16:00;-1999,206380;7,800000;7,769000;7,816000;0,001201;0,006781;7,946000;7,876686
USD_TRY;2022-06-03T16:00;1999,206380;16,657000;16,724000;16,623000;0,014205;0,006936;16,538750;16,473783
EUR_TRY;2022-06-03T16:00;1999,206380;17,843000;17,914000;17,807000;0,003045;-0,001811;17,659120;17,667839
USD_TRY;2022-06-03T16:00;-1999,206380;16,657000;16,590000;16,691000;0,014205;0,006936;16,538750;16,473783
TRY_JPY;2022-06-03T16:00;-1999,206380;7,800000;7,769000;7,816000;0,001201;0,006781;7,946000;7,876686
EUR_TRY;2022-06-03T16:00;-1999,206380;17,843000;17,772000;17,879000;0,003045;-0,001811;17,659120;17,667839
TRY_JPY;2022-06-03T16:00;1999,206380;7,800000;7,831000;7,784000;0,001201;0,006781;7,946000;7,876686
USD_TRY;2022-06-03T16:00;1999,206380;16,657000;16,724000;16,623000;0,014205;0,006936;16,538750;16,473783
EUR_TRY;2022-06-03T16:00;1999,206380;17,843000;17,914000;17,807000;0,003045;-0,001811;17,659120;17,667839
USD_TRY;2022-06-03T16:00;-1999,206380;16,657000;16,590000;16,691000;0,014205;0,006936;16,538750;16,473783
EUR_TRY;2022-06-03T16:00;-1999,206380;17,843000;17,772000;17,879000;0,003045;-0,001811;17,659120;17,667839
USD_TRY;2022-06-03T16:00;1999,206380;16,657000;16,724000;16,623000;0,014205;0,006936;16,538750;16,473783
EUR_TRY;2022-06-03T16:00;1999,206380;17,843000;17,914000;17,807000;0,003045;-0,001811;17,659120;17,667839
USD_TRY;2022-06-03T16:00;-1999,206380;16,657000;16,590000;16,691000;0,014205;0,006936;16,538750;16,473783
EUR_TRY;2022-06-03T16:00;-1999,206380;17,843000;17,772000;17,879000;0,003045;-0,001811;17,659120;17,667839
NZD_JPY;2022-06-03T16:15;1999,206380;85,200000;85,541000;85,029000;0,016799;0,015912;85,080592;84,784461
USD_CNH;2022-06-03T16:45;1999,171006;6,650000;6,677000;6,636000;0,003761;0,003830;6,659100;6,659929
USD_CAD;2022-06-03T17:00;1999,161780;1,257000;1,262000;1,254000;0,000239;0,000266;1,259260;1,260133
USD_MXN;2022-06-03T17:00;1999,161780;19,568000;19,646000;19,528000;0,008154;0,008276;19,609730;19,587751
USD_HKD;2022-06-03T17:00;-1999,161780;7,845000;7,814000;7,861000;0,000298;0,000342;7,846308;7,845445
AUD_USD;2022-06-03T17:15;1999,161780;0,720000;0,723000;0,718000;-0,000944;-0,000899;0,722060;0,722509
AUD_SGD;2022-06-03T17:30;1999,161780;0,992000;0,996000;0,990000;-0,000712;-0,000718;0,991865;0,991951
GBP_USD;2022-06-03T17:30;1999,161780;1,249000;1,254000;1,246000;-0,001531;-0,001527;1,251499;1,255300
EUR_NOK;2022-06-03T18:15;1999,161780;10,131000;10,172000;10,110000;0,003977;0,003675;10,114387;10,099750
AUD_HKD;2022-06-03T18:15;-1999,161780;5,651000;5,628000;5,663000;-0,006859;-0,006788;5,660658;5,668201
AUD_HKD;2022-06-03T18:15;1999,161780;5,651000;5,674000;5,639000;-0,006859;-0,006788;5,660658;5,668201
EUR_USD;2022-06-03T18:15;1999,161350;1,071000;1,075000;1,068000;-0,000503;-0,000491;1,072602;1,072404
AUD_HKD;2022-06-03T18:15;1999,161350;5,651000;5,674000;5,639000;-0,006859;-0,006788;5,660658;5,668201
GBP_AUD;2022-06-03T18:15;1999,161350;1,733000;1,740000;1,729000;-0,000004;0,000055;1,733068;1,737276
AUD_NZD;2022-06-03T18:30;-1999,161350;1,108000;1,104000;1,111000;-0,000066;-0,000068;1,107394;1,106666
GBP_SGD;2022-06-03T18:45;-1999,161350;1,719000;1,712000;1,723000;-0,001229;-0,001224;1,720509;1,723256
EUR_SGD;2022-06-03T18:45;1999,161350;1,475000;1,481000;1,472000;0,000049;0,000048;1,473540;1,472492
CHF_ZAR;2022-06-03T18:45;1999,161350;16,139000;16,204000;16,106000;0,005189;0,005376;16,159590;16,157432
AUD_CHF;2022-06-03T19:00;1999,161350;0,694000;0,697000;0,692000;-0,000304;-0,000305;0,693632;0,693571
EUR_DKK;2022-06-03T19:15;1999,161350;7,438000;7,468000;7,423000;-0,000159;-0,000125;7,438400;7,438883
NZD_CHF;2022-06-03T19:30;1999,161350;0,626000;0,629000;0,624000;-0,000266;-0,000244;0,626669;0,626675
CAD_HKD;2022-06-03T19:30;1999,161350;6,232000;6,257000;6,219000;-0,002128;-0,002248;6,229134;6,226265
EUR_HUF;2022-06-03T20:45;-999,519036;391,800000;391,016000;392,192000;-0,370807;-0,444216;392,449902;394,376315
USD_MXN;2022-06-03T20:45;-999,519036;19,553000;19,513890;19,572550;-0,002045;0,001845;19,566674;19,584778
CAD_CHF;2022-06-03T20:45;-999,519036;0,764000;0,762470;0,764760;-0,000075;0,000045;0,764220;0,762062
EUR_GBP;2022-06-03T20:45;-999,519036;0,858000;0,856280;0,858860;0,000513;0,000546;0,857947;0,854728
GBP_CHF;2022-06-03T20:45;-999,519036;1,202000;1,199600;1,203200;-0,000677;-0,000617;1,203104;1,204701
EUR_HUF;2022-06-03T20:58;-999,519036;391,800000;391,016000;392,192000;-0,003955;-0,012286;391,784961;392,003725
USD_MXN;2022-06-03T20:58;-999,519036;19,553000;19,513890;19,572550;-0,000799;-0,001612;19,553375;19,563395
CAD_CHF;2022-06-03T20:58;-1999,038072;0,764000;0,762470;0,764760;-0,000004;0,000006;0,765068;0,764585
EUR_GBP;2022-06-03T20:58;-999,519036;0,858000;0,856280;0,858860;0,000037;0,000079;0,858214;0,857736
GBP_CHF;2022-06-03T20:58;-999,519036;1,202000;1,199600;1,203200;-0,000061;-0,000067;1,202533;1,202999
USD_THB;2022-06-03T20:58;-999,519036;34,300000;34,231000;34,335000;-0,005718;0,000070;34,372000;34,356833
USD_ZAR;2022-06-03T20:58;-999,519036;15,537000;15,505930;15,552540;-0,000882;0,000617;15,546390;15,543726
EUR_NOK;2022-06-03T20:58;-999,519036;10,114000;10,093770;10,124110;-0,000379;-0,000164;10,113417;10,119534
GBP_PLN;2022-06-03T20:58;-999,519036;5,344000;5,333310;5,349340;0,000288;-0,000371;5,343580;5,348390
EUR_HKD;2022-06-03T20:58;-999,519036;8,408000;8,391180;8,416410;-0,000075;0,000097;8,406706;8,409572
CHF_JPY;2022-06-03T20:58;-1999,038072;135,800000;135,528000;135,936000;-0,014008;-0,010374;135,848390;135,902409
GBP_HKD;2022-06-03T20:58;999,519036;9,796000;9,815590;9,786200;-0,000823;-0,000869;9,794283;9,803792
EUR_NZD;2022-06-03T20:58;-999,519036;1,647000;1,643710;1,648650;0,000162;0,000191;1,647164;1,646806
EUR_JPY;2022-06-03T20:58;-999,519036;140,200000;139,919000;140,341000;-0,007461;-0,005236;140,179664;140,248516
USD_CHF;2022-06-03T20:58;-1999,038072;0,962000;0,960080;0,962960;-0,000015;0,000033;0,962980;0,962584
USD_TRY;2022-06-03T20:58;-999,519036;16,449000;16,416100;16,465450;0,000859;0,001431;16,422620;16,450328
GBP_JPY;2022-06-03T20:58;-1999,038072;163,300000;162,973000;163,464000;-0,022422;-0,022041;163,331626;163,502266
EUR_CZK;2022-06-03T20:58;-999,519036;24,659000;24,609680;24,683660;-0,001522;-0,001462;24,659668;24,670110
EUR_TRY;2022-06-03T20:58;-999,519036;17,633000;17,597730;17,650630;-0,000320;-0,001924;17,605734;17,627966
USD_JPY;2022-06-03T20:58;-999,519036;130,800000;130,538000;130,931000;-0,004750;-0,005498;130,812571;130,829578
EUR_HUF;2022-06-06T16:44;-999,512806;387,900000;387,124000;388,288000;0,000588;0,006603;388,014624;387,815964
USD_MXN;2022-06-06T16:44;-999,512806;19,591000;19,551820;19,610590;-0,002694;-0,001014;19,593934;19,562495
GBP_USD;2022-06-06T16:53;-999,512806;1,253000;1,250490;1,254250;-0,000005;-0,000008;1,253682;1,253953
USD_MXN;2022-06-06T18:57;-999,504794;19,612200;19,572980;19,631810;0,001321;0,001309;19,616248;19,591102
GBP_USD;2022-06-06T18:57;999,504794;1,253400;1,255910;1,252150;-0,000063;-0,000072;1,253179;1,253782
CAD_CHF;2022-06-06T18:57;-999,504794;0,772300;0,770760;0,773070;0,000039;-0,000009;0,771932;0,771418
EUR_GBP;2022-06-06T18:57;-999,504794;0,852800;0,851090;0,853650;-0,000037;-0,000021;0,852973;0,853126
GBP_CHF;2022-06-06T18:57;-999,504794;1,217400;1,214970;1,218620;0,000036;0,000005;1,217073;1,215869
USD_THB;2022-06-06T18:40;-999,504794;34,420000;34,351000;34,455000;0,004955;0,003499;34,413315;34,369146
USD_ZAR;2022-06-06T18:57;-999,504794;15,444200;15,413310;15,459640;0,000949;0,000099;15,453489;15,428768
EUR_NOK;2022-06-06T18:57;-999,504794;10,083900;10,063730;10,093980;0,001752;0,001358;10,083907;10,074571
GBP_PLN;2022-06-06T18:57;-999,504794;5,379500;5,368740;5,384880;-0,000032;-0,000125;5,378827;5,377514
EUR_HKD;2022-06-06T18:57;-999,504794;8,385000;8,368230;8,393380;-0,000909;-0,000828;8,386220;8,391810
CHF_JPY;2022-06-06T18:57;-999,504794;135,860000;135,588000;135,996000;0,010493;0,018120;135,885000;135,809167
USD_SEK;2022-06-06T18:57;-999,504794;9,799300;9,779700;9,809100;0,002407;0,002012;9,804570;9,784758
GBP_SGD;2022-06-06T18:57;1999,009588;1,725600;1,729050;1,723870;0,000001;-0,000010;1,725291;1,725253
GBP_HKD;2022-06-06T18:57;999,504794;9,832100;9,851760;9,822270;-0,000692;-0,000757;9,829989;9,836062
EUR_NZD;2022-06-06T18:57;-999,504794;1,647700;1,644400;1,649350;0,000054;0,000092;1,648330;1,646829
SGD_CHF;2022-06-06T18:57;-999,504794;0,705500;0,704090;0,706210;0,000029;0,000007;0,705380;0,704712
AUD_SGD;2022-06-06T18:57;999,504794;0,989900;0,991880;0,988910;-0,000152;-0,000158;0,989458;0,990749
EUR_JPY;2022-06-06T18:57;-999,504794;141,060000;140,777000;141,202000;0,009963;0,015937;141,039600;140,884605
USD_CHF;2022-06-06T18:57;-999,504794;0,971300;0,969360;0,972270;0,000084;0,000055;0,971158;0,969718
USD_TRY;2022-06-06T18:57;-999,504794;16,572400;16,539260;16,588970;-0,000337;-0,000408;16,573332;16,576814
GBP_JPY;2022-06-06T18:57;-999,504794;165,420000;165,089000;165,586000;0,019822;0,022915;165,358160;165,131997
EUR_CZK;2022-06-06T18:57;-999,504794;24,734000;24,684530;24,758730;0,000607;0,000811;24,734800;24,729598
EUR_TRY;2022-06-06T18:57;-999,504794;17,715100;17,679670;17,732820;-0,001918;-0,001774;17,717012;17,732621
USD_JPY;2022-06-06T18:57;-999,504794;131,970000;131,706000;132,102000;0,021545;0,024952;131,941320;131,702090
GBP_ZAR;2022-06-06T18:57;-999,504794;19,358500;19,319780;19,377860;0,000248;-0,000898;19,352621;19,345025
SGD_JPY;2022-06-06T18:57;-999,504794;95,860000;95,668000;95,956000;0,011682;0,013999;95,835240;95,711111
USD_CZK;2022-06-06T18:58;-999,504794;23,138300;23,092020;23,161440;0,002712;0,002571;23,141196;23,116888
ZAR_JPY;2022-06-06T18:57;-999,504794;8,540000;8,522000;8,549000;0,001844;0,003150;8,549061;8,531702
TRY_JPY;2022-06-06T18:57;-999,504794;7,960000;7,944000;7,968000;0,003213;0,002783;7,958620;7,931234
USD_DKK;2022-06-06T18:58;-999,504794;6,959300;6,945380;6,966260;0,000629;0,000551;6,960003;6,954252
EUR_PLN;2022-06-06T18:58;-999,504794;4,587600;4,578420;4,592190;-0,000221;-0,000210;4,587932;4,587873
AUD_CAD;2022-06-06T18:58;-999,504794;0,904200;0,902390;0,905100;-0,000165;-0,000136;0,904428;0,905078
CAD_SGD;2022-06-06T18:58;-999,504794;1,094700;1,092510;1,095790;0,000045;-0,000014;1,094293;1,094613
GBP_NZD;2022-06-06T18:58;-999,504794;1,932000;1,928140;1,933930;0,000111;0,000144;1,932494;1,930268
CHF_ZAR;2022-06-06T18:58;-999,504794;15,900600;15,868800;15,916500;-0,000656;-0,000502;15,899861;15,909828
